Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2022,6,jonest2,Taiwan Jones,RB,BUF,@KC,19.9,23,0.4,0.0,0.0,0.0,0.0,0.0,1.2,4.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,C-Game
2022,6,foremd1,D'Onta Foreman,RB,CAR,@LAR,11.8,2,0.4,0.0,0.0,0.0,0.0,0.0,0.9,3.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,C-Game
2022,6,davism3,Mike Davis,RB,BAL,@NYG,16.3,15,0.3,0.0,0.0,0.0,0.0,0.0,0.8,2.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,C-Game
2022,6,brighg1,Gary Brightwell,RB,NYG,BAL,15.8,12,0.2,0.0,0.0,0.0,0.0,0.0,0.6,2.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,C-Game
2022,6,kuppc1,Cooper Kupp,WR,LAR,CAR,22.1,20,24.9,0.0,0.0,0.0,0.0,0.0,0.7,4.6,0.1,8.6,105.3,0.8,0.0,0.2,5.3,0.0,0.0,0.0,A-Game
2022,6,diggss1,Stefon Diggs,WR,BUF,@KC,25.1,25,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,95.6,0.7,0.0,0.0,4.8,0.0,0.0,0.0,A-Game
2022,6,jeffej1,Justin Jefferson,WR,MIN,@MIA,18.9,10,21.0,0.0,0.0,0.0,0.0,0.0,0.3,1.1,0.0,7.1,105.3,0.6,0.0,0.0,4.9,0.0,0.0,0.0,A-Game
2022,6,chasej1,Ja'Marr Chase,WR,CIN,@NO,25.4,26,17.6,0.0,0.0,0.0,0.0,0.0,0.5,2.1,0.0,6.1,80.9,0.6,0.0,0.1,3.9,0.0,0.0,0.0,A-Game
2022,6,brownm6,Marquise Brown,WR,ARI,@SEA,17.2,6,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,84.1,0.5,0.0,0.0,4.0,0.0,0.0,0.0,A-Game
2022,6,samued1,Deebo Samuel,WR,SF,@ATL,24.8,24,16.9,0.0,0.0,0.0,0.0,0.0,3.9,24.2,0.2,4.8,69.6,0.2,0.0,1.0,3.3,0.1,0.0,0.0,A-Game
2022,6,evansm1,Mike Evans,WR,TB,@PIT,31.6,31,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,77.2,0.8,0.0,0.0,3.4,0.0,0.0,0.0,A-Game
